# Latin <-> English name correspondences.
#
# Compared by STEM, one pair per line:  <latin-stem> <vernacular-stem>
#
# Everything ABOVE the marker is hand-maintained and preserved across
# regeneration; everything below it is rewritten from the corpus by
# learn_names.  Two kinds of hand entry:
#
#     stem stem      force this pair (a name the mining never saw)
#     -stem stem     veto it (mining found it, but it is wrong)
#
# Vetoes are what to reach for when a learned pair is a coincidence
# rather than a name -- month names lining up because both sides are
# dating a martyrdom, or a common word that happens to be capitalized.

# --- vetoes (coincidences the mining cannot tell from names) ---
-ernic fiorentin   # Hernicis is a people, Fiorentino a town
-octa ui   # ordinal vs roman numeral
# ---- learned (rewritten by learn_names) ----
gali gaul   # 83, 0.511  (gallia/gaul)
ispani spain   # 77, 0.828  (hispania/spain)
soci companion   # 62, 0.838  (sociorum/companions)
mediolan milan   # 43, 0.935  (mediolani/milan)
euangel gospel   # 39, 0.772  (evangelium/gospel)
angli england   # 34, 0.84  (anglia/england)
bricsi bresci   # 26, 0.981  (brixiae/brescia)
treuir trier   # 25, 0.98  (treviris/trier)
macsim suprem   # 24, 0.623  (maximus/supreme)
ierosolim ierusal   # 23, 0.958  (hierosolymis/jerusalem)
lugdun lion   # 23, 0.807  (lugduni/lyon)
papi paui   # 22, 0.978  (papia/pavia)
dionis den   # 21, 0.875  (dionysium/denis)
neapol napl   # 21, 0.955  (neapoli/naples)
antisiodor aucser   # 18, 0.9  (antisiodori/auxerre)
bononi bologn   # 17, 0.919  (bononiae/bologna)
decim csi   # 16, 0.593  (decimus/xiii)
gal gaul   # 14, 0.636  (galliis/gaul)
magn great   # 13, 0.722  (magni/great)
turon tour   # 13, 0.867  (turonis/tours)
augstodun autun   # 12, 0.889  (augustoduni/autun)
iude ieu   # 11, 0.88  (judea/jewess)
tudert tod   # 11, 1.0  (tuderti/todi)
ispal seuil   # 11, 0.957  (hispali/seville)
aruern auergn   # 10, 0.833  (arvernis/auvergne)
lector reader   # 10, 0.8  (lectoris/reader)
sum suprem   # 9, 0.75  (summo/supreme)
cruc cro   # 8, 0.8  (crucis/cross)
longobard lombard   # 8, 0.941  (longobardorum/lombards)
lusitani portugal   # 8, 0.842  (lusitania/portugal)
predicat preacer   # 8, 0.889  (praedicatorum/preachers)
soc companion   # 8, 0.667  (sociis/companions)
mauritani moroc   # 7, 0.778  (mauritania/morocco)
patau padu   # 7, 1.0  (patavii/padua)
rotomag rouen   # 7, 0.824  (rotomagi/rouen)
spons bridegrom   # 7, 0.7  (sponsi/bridegroom)
aurelian orlean   # 7, 0.636  (aurelian/orleans)
rem reim   # 7, 0.609  (rhemis/rheims)
trec troi   # 7, 0.778  (trecis/troyes)
lugdunens lion   # 7, 0.778  (lugdunensi/lyon)
bituric bourg   # 6, 0.8  (bituricis/bourges)
cesaraugst saragos   # 6, 0.857  (caesaraugustae/zaragoza)
concili council   # 6, 0.545  (concilio/council)
iberni ireland   # 6, 0.706  (hibernia/ireland)
merced ransom   # 6, 1.0  (mercede/ransom)
mois mos   # 6, 1.0  (moysis/moses)
saluator sauiour   # 6, 0.923  (salvatoris/saviour)
dionisi den   # 6, 1.0  (dionysio/denis)
euangeli gospel   # 6, 0.667  (evangelio/gospel)
sinod council   # 6, 0.75  (synodo/council)
ambian amien   # 5, 0.833  (ambiani/amiens)
etruri tuscan   # 5, 0.625  (etruria/tuscany)
lirinens lerin   # 5, 0.909  (lirinensi/lerins)
maur mor   # 5, 0.769  (maurae/moors)
meldens meauc   # 5, 0.769  (meldensi/meaux)
mesan mesin   # 5, 1.0  (messanae/messina)
mognti main   # 5, 0.769  (moguntiam/mainz)
picen ancon   # 5, 0.625  (piceno/ancona)
tibur tiuol   # 5, 0.909  (tibure/tivoli)
arelat arl   # 5, 0.833  (arelate/arles)
cenoman man   # 5, 1.0  (cenomanos/mans)
aurelianens orlean   # 5, 0.833  (aurelianensis/orleans)
suesion soison   # 5, 0.909  (suessiones/soissons)
anoni ainaut   # 4, 0.8  (hannoniae/hainaut)
firm ferm   # 4, 1.0  (firmi/fermo)
leontin lentin   # 4, 1.0  (leontinos/lentini)
scitopol betsan   # 4, 1.0  (scythopoli/bethsan)
spiritu gost   # 4, 0.727  (spiritu/ghost)
taracin teracin   # 4, 0.889  (tarracinam/terracina)
taumaturg cesare   # 4, 0.8  (thaumaturgi/caesarea)
tungrens tongr   # 4, 1.0  (tungrensis/tongres)
uenet uenic   # 4, 0.571  (venetorum/venice)
antisiodorens aucser   # 4, 1.0  (antisiodorensi/auxerre)
britani england   # 4, 0.667  (britannia/england)
emerit merid   # 4, 1.0  (emeritae/merida)
lingon langr   # 4, 0.8  (lingonas/langres)
ueneti uenic   # 4, 0.889  (venetiae/venice)
cabilon calon   # 4, 0.667  (cabillone/chalons)
remens reim   # 4, 0.667  (rhemensi/rheims)
acai pelopones   # 3, 1.0  (achaia/peloponnesos)
ameri ameli   # 3, 1.0  (ameriae/amelia)
arcidiacon arcdeacon   # 3, 1.0  (archidiaconi/archdeacon)
argentorat strasbourg   # 3, 0.857  (argentorati/strasbourg)
aucsim osim   # 3, 1.0  (auximi/osimo)
burdigal bordeauc   # 3, 1.0  (burdigalae/bordeaux)
cersones crime   # 3, 0.857  (chersonesum/crimea)
comit count   # 3, 0.6  (comitis/count)
dani denmarc   # 3, 1.0  (dania/denmark)
fesulan fiesol   # 3, 0.857  (fesulani/fiesole)
fidel faitful   # 3, 0.75  (fidelium/faithful)
fund fond   # 3, 1.0  (fundis/fondi)
iou iupiter   # 3, 1.0  (jovis/jupiter)
lemouic limog   # 3, 0.857  (lemovicis/limoges)
masili marseil   # 3, 0.75  (massiliae/marseilles)
mis mas   # 3, 1.0  (missarum/massa)
misi bulgari   # 3, 1.0  (mysia/bulgaria)
nouocom com   # 3, 1.0  (novocomi/como)
panoni ungar   # 3, 0.6  (pannonia/hungary)
poloni poland   # 3, 0.75  (polonia/poland)
senens sien   # 3, 0.667  (senensi/siena)
septempedan seuerin   # 3, 0.857  (septempedanos/severino)
tifern castel   # 3, 0.857  (tifernum/castel)
tolosan toulous   # 3, 0.75  (tolosani/toulouse)
traiect utrect   # 3, 0.857  (trajectum/utrecht)
tur tor   # 3, 0.857  (turris/torre)
uesontion besancon   # 3, 0.75  (vesontione/besancon)
uestin abrus   # 3, 0.5  (vestinis/abruzzi)
angl engl   # 3, 0.545  (anglorum/english)
bituricens bourg   # 3, 0.75  (bituricensi/bourges)
eborac iorc   # 3, 1.0  (eboraci/york)
galeci galici   # 3, 0.857  (gallaeciae/gallicia)
legion leon   # 3, 0.857  (legion/leon)
mediolanens milan   # 3, 0.75  (mediolanensi/milan)
rotomagens rouen   # 3, 1.0  (rotomagensis/rouen)
uirodun uerdun   # 3, 1.0  (viroduni/verdun)
catalaun calon   # 3, 0.857  (catalauni/chalons)
abdi obadi   # 2, 1.0  (abdias/obadiah)
amid diarbecr   # 2, 1.0  (amidae/diarbekr)
apocalips reuelation   # 2, 1.0  (apocalypsi/revelation)
arausic orang   # 2, 1.0  (arausicae/orange)
arimin rimin   # 2, 1.0  (arimini/rimini)
ascul ascol   # 2, 1.0  (asculi/ascoli)
asturicens astorg   # 2, 1.0  (asturicensi/astorga)
atrebat ara   # 2, 0.667  (atrebati/arras)
auenion auignon   # 2, 1.0  (avenione/avignon)
belgi lob   # 2, 0.571  (belgio/lobbes)
belouacens beaua   # 2, 0.8  (bellovacensi/beauvais)
brucsel brusel   # 2, 1.0  (bruxellas/brussels)
camerin camarin   # 2, 0.8  (camerini/camarino)
caral cagliar   # 2, 1.0  (carali/cagliari)
cesar casare   # 2, 0.8  (caesarii/cassarea)
clareualens clairuauc   # 2, 1.0  (claraevallensis/clairvaux)
clodoue clou   # 2, 1.0  (clodoveo/clovis)
comod cornmod   # 2, 1.0  (commodus/cornmodus)
cript grot   # 2, 0.8  (cryptae/grotta)
csist sicst   # 2, 0.8  (xystus/sixtus)
derton torton   # 2, 1.0  (dertonae/tortona)
eufratesi rasaf   # 2, 1.0  (euphratesia/rasaphe)
ferentin campani   # 2, 0.667  (ferentini/campania)
for imol   # 2, 0.667  (foro/imola)
francisc clar   # 2, 0.667  (francisci/clare)
frigdian finan   # 2, 1.0  (frigdiani/finnan)
ganda gent   # 2, 0.5  (gandavum/gent)
gebenens geneu   # 2, 0.8  (gebennensis/geneva)
interamn tern   # 2, 0.667  (interamnae/terni)
leod lieg   # 2, 0.667  (leodii/liege)
liban balbec   # 2, 0.8  (libanum/balbek)
nanet nant   # 2, 1.0  (nannete/nantes)
noric salsburg   # 2, 0.667  (noricos/salzburg)
omerit iemen   # 2, 1.0  (homeritas/yemen)
osc uesc   # 2, 1.0  (oscae/huesca)
panormitan palerm   # 2, 1.0  (panormitanae/palermo)
pauper por   # 2, 0.667  (pauperum/poor)
placenti piacens   # 2, 1.0  (placentiae/piacenza)
populon piombin   # 2, 1.0  (populonii/piombino)
ratisbon regensburg   # 2, 1.0  (ratisbonae/regensburg)
reat riet   # 2, 1.0  (reate/riete)
sampson samson   # 2, 1.0  (sampsonis/samson)
spe ope   # 2, 1.0  (spei/hope)
surent sorent   # 2, 1.0  (surrentum/sorrento)
taurin turin   # 2, 0.8  (taurinas/turin)
tornac tourna   # 2, 1.0  (tornaci/tournai)
uerul uerol   # 2, 0.8  (verulis/veroli)
uincul cain   # 2, 1.0  (vincula/chains)
uni uns   # 2, 0.667  (hunnis/huns)
abul auil   # 2, 0.8  (abulae/avila)
ambianens amien   # 2, 1.0  (ambianensium/amiens)
andegau anger   # 2, 0.8  (andegavi/angers)
apruti abrus   # 2, 0.571  (aprutio/abruzzi)
aruernens auergn   # 2, 1.0  (arvernensi/auvergne)
augstodunens autun   # 2, 1.0  (augustodunensi/autun)
borusi prusi   # 2, 1.0  (borussia/prussia)
camerac cambra   # 2, 1.0  (cameraci/cambrai)
centurion tangier   # 2, 0.667  (centurionis/tangiers)
comit earl   # 2, 1.0  (comitis/earl)
complut alcal   # 2, 1.0  (compluti/alcala)
frisi friesland   # 2, 0.8  (frisia/friesland)
gand gent   # 2, 0.667  (gandae/gent)
gerunt geront   # 2, 1.0  (geruntii/gerontius)
iliber eluir   # 2, 1.0  (illiberi/elvira)
iude palestin   # 2, 0.8  (judea/palaestina)
iustinian giustinian   # 2, 1.0  (justinian/giustiniani)
lect reader   # 2, 0.667  (lectorum/reader)
lusitan portugal   # 2, 0.8  (lusitani/portugal)
redon ren   # 2, 1.0  (rhedonis/rhenum)
ruten rod   # 2, 0.8  (rhutenos/rhodis)
tolos toulous   # 2, 1.0  (tolosae/toulouse)
tusculan frascat   # 2, 1.0  (tusculano/frascati)
ugon ug   # 2, 0.8  (hugonis/hugh)
uintoni uincester   # 2, 0.8  (wintoniae/winchester)
ulisipon lisbon   # 2, 0.8  (ulyssipone/lisbon)
umbri cit   # 2, 0.571  (umbria/city)
act second   # 2, 0.667  (actuum/second)
angl uilibald   # 2, 0.8  (anglorum/willibald)
arelatens arl   # 2, 1.0  (arelatensis/arles)
bituricens ber   # 2, 1.0  (bituricensi/berry)
eboriac england   # 2, 0.571  (eboriaci/england)
lingoniens langr   # 2, 1.0  (lingoniensi/langres)
nouiodun noion   # 2, 0.667  (novioduni/noyon)
pelign abrus   # 2, 1.0  (pelignis/abruzzi)
pontificat papac   # 2, 0.571  (pontificate/papacy)
tricasin troi   # 2, 0.571  (tricassino/troyes)
uiuariens uiuier   # 2, 1.0  (vivariensi/viviers)
uilebald sacson   # 2, 1.0  (willebaldi/saxons)
