# Latin <-> Polski name correspondences.
#
# Compared by STEM, one pair per line:  <latin-stem> <vernacular-stem>
#
# Everything ABOVE the marker is hand-maintained and preserved across
# regeneration; everything below it is rewritten from the corpus by
# learn_names.  Two kinds of hand entry:
#
#     stem stem      force this pair (a name the mining never saw)
#     -stem stem     veto it (mining found it, but it is wrong)
#
# Vetoes are what to reach for when a learned pair is a coincidence
# rather than a name -- month names lining up because both sides are
# dating a martyrdom, or a common word that happens to be capitalized.

# --- vetoes (coincidences the mining cannot tell from names) ---
-tunc uoucs   # adverbs, not names
# ---- learned (rewritten by learn_names) ----
rom rsimi   # 312, 0.9  (romae/rzymie)
petr piotr   # 95, 0.941  (petri/piotra)
eclesi coscioł   # 62, 0.5  (ecclesiae/kosciołem)
gregor grsegors   # 33, 0.584  (gregorii/grzegorza)
gregor grsegor   # 29, 0.784  (gregorii/grzegorz)
tusci toscan   # 27, 0.761  (tuscia/toskanii)
bricsi bresc   # 26, 0.963  (brixiae/bresci)
rom rsimu   # 25, 0.505  (romae/rzymu)
papi pau   # 19, 0.927  (papiez/pawii)
bononi bolon   # 17, 0.971  (bononiae/bolonii)
antisiodor aucser   # 16, 0.914  (antisiodori/auxerre)
apostat odstepc   # 14, 0.824  (apostata/odstepcy)
laurent uaursinc   # 12, 0.96  (laurentii/wawrzynca)
societat iesusoueg   # 12, 0.774  (societatem/jezusowego)
augstodun autun   # 11, 0.846  (augustoduni/autun)
britani angl   # 11, 0.688  (britanniam/anglii)
magn uielcieg   # 11, 0.611  (magni/wielkiego)
umbri tod   # 10, 0.667  (umbria/todi)
baptist crsciciel   # 9, 0.947  (baptistae/chrzciciela)
germani niemcsec   # 9, 0.5  (germaniae/niemczech)
rotomag rouen   # 9, 0.818  (rotomagi/rouen)
trec troi   # 8, 0.842  (trecis/troyes)
cruc crsis   # 7, 0.737  (crucis/krzyza)
nicola micołai   # 7, 0.933  (nicolai/mikołaja)
acuitani bourg   # 6, 0.632  (aquitania/bourges)
cesaraugst saragosi   # 6, 1.0  (caesaraugustae/saragossie)
genitric matc   # 6, 0.571  (genitricis/matke)
lugdunens lionu   # 6, 0.6  (lugdunense/lyonu)
lusitani portugal   # 6, 0.857  (lusitania/portugalii)
patau padui   # 6, 0.857  (patavium/padwie)
sinod soboru   # 6, 0.632  (synodus/soboru)
britani bretan   # 6, 0.75  (britanniam/bretanii)
etruri toscan   # 6, 0.667  (etruria/toskanii)
cluniacens clugn   # 5, 1.0  (cluniacensis/clugny)
concili sobors   # 5, 0.769  (concilio/soborze)
iberni irland   # 5, 0.588  (hibernia/irlandii)
lasar łasars   # 5, 1.0  (lazari/łazarza)
lirinens lerin   # 5, 0.909  (lirinensis/lerin)
luc łucas   # 5, 0.526  (lucas/łukasza)
lucian łucian   # 5, 1.0  (luciani/łucjana)
meldens meauc   # 5, 0.769  (meldensi/meaux)
mesan mesini   # 5, 1.0  (messanae/mesynie)
micel micał   # 5, 1.0  (michaele/michała)
misi silistr   # 5, 0.833  (mysia/sylistrii)
spiritu duc   # 5, 0.667  (spiritu/ducis)
suesion soison   # 5, 0.909  (suessiones/soissons)
taumaturg cudotuorc   # 5, 0.909  (thaumaturgus/cudotworcy)
tibur tiuol   # 5, 0.833  (tibure/tivoli)
ungar uegrsec   # 5, 0.625  (hungarorum/wegrzech)
aurelianens orleanu   # 4, 0.889  (aurelianensi/orleanu)
cabilon calon   # 4, 0.727  (cabillone/chalons)
eborac iorcu   # 4, 1.0  (eboraci/yorku)
emerit meridsi   # 4, 1.0  (emeritae/meridzie)
firm ferm   # 4, 0.889  (firmo/fermo)
itali ułoc   # 4, 0.533  (italia/włoch)
legion leoni   # 4, 0.889  (legionis/leonie)
leontin lentin   # 4, 1.0  (leontinos/lentini)
margarit małgorsat   # 4, 0.889  (margaritae/małgorzaty)
martial marcialis   # 4, 0.889  (martialis/marcjalisa)
mesopotami sir   # 4, 0.667  (mesopotamia/syrii)
neocesar noue   # 4, 1.0  (neocaesareae/nowej)
octa ui   # 4, 0.667  (octavus/viii)
pictauiens poitier   # 4, 0.727  (pictaviensis/poitiers)
poloni polsc   # 4, 0.615  (polonia/polsce)
simeon simon   # 4, 1.0  (simeonis/szymona)
taracin teracini   # 4, 0.8  (tarracinam/terracynie)
tungrens tongern   # 4, 1.0  (tungrensis/tongern)
agnet agniesc   # 4, 1.0  (agnetis/agnieszki)
bituricens bourg   # 4, 0.889  (bituricensi/bourges)
dorostor bułgar   # 4, 0.667  (dorostori/bułgarii)
iberni scoc   # 4, 1.0  (hibernia/szkocji)
anoni enegau   # 3, 0.75  (hannoniae/hennegau)
argentorat strasburg   # 3, 0.857  (argentorati/strassburga)
aucsim osim   # 3, 1.0  (auximi/osimo)
burdigal bordeauc   # 3, 1.0  (burdigalae/bordeaux)
cristofor crsistofor   # 3, 1.0  (christophori/krzysztofora)
elisabet elsbiet   # 3, 1.0  (elisabeth/elzbiety)
fesulan fiesol   # 3, 0.75  (fesulani/fiesoli)
lemouic limog   # 3, 0.75  (lemovicis/limoges)
luci łuc   # 3, 0.6  (lucio/łukasz)
masili marsil   # 3, 0.75  (massiliam/marsylii)
mauritani marocu   # 3, 0.75  (mauritania/maroku)
mis msi   # 3, 0.75  (missarum/mszy)
nouocom com   # 3, 1.0  (novocomi/como)
panorm palerm   # 3, 1.0  (panormi/palermo)
pont csarn   # 3, 0.545  (ponto/czarnym)
pres starost   # 3, 1.0  (praeses/starosta)
ricard risard   # 3, 0.857  (richardi/ryszarda)
tur tor   # 3, 0.857  (thura/thora)
act dsieiac   # 3, 0.545  (acta/dziejach)
antisiodorens aucser   # 3, 0.857  (antisiodorensi/auxerre)
bracar brads   # 3, 1.0  (bracari/bradze)
tricasin troi   # 3, 1.0  (tricassino/troyes)
abul auil   # 2, 0.8  (abulae/awili)
arimin rimin   # 2, 1.0  (arimini/rimini)
ascul ascol   # 2, 1.0  (asculi/askoli)
atrebat ara   # 2, 0.667  (atrebati/arras)
belouacens beaua   # 2, 0.8  (bellovacensi/beauvais)
birgit brigid   # 2, 1.0  (birgittae/brygidy)
blas błasei   # 2, 1.0  (blasii/błazeja)
borusi prusac   # 2, 1.0  (borussia/prusach)
camaldulens camedułou   # 2, 0.8  (camaldulensi/kamedułow)
caral cagliar   # 2, 1.0  (carali/kagliarii)
cisic cicic   # 2, 0.667  (cyzici/cicicus)
cisterc citeauc   # 2, 1.0  (cistercii/citeaux)
clareualens clairuauc   # 2, 1.0  (claraevallensis/clairvaux)
complut alcal   # 2, 1.0  (compluti/alcali)
derton tortoni   # 2, 1.0  (dertonae/tortonie)
ebredun embrun   # 2, 1.0  (ebreduni/embrunn)
ebroicens eureuc   # 2, 0.8  (ebroicensi/evreux)
ecsorcist egsorcist   # 2, 0.667  (exorcistae/egzorcysty)
erbipol uersburg   # 2, 0.8  (herbipoli/wuerzburgu)
eucaristi sacramentu   # 2, 0.8  (eucharistia/sakramentu)
fenens pen   # 2, 1.0  (phennensi/penna)
for imol   # 2, 0.8  (foro/imoli)
fund fond   # 2, 1.0  (fundis/fondi)
galeci galic   # 2, 0.8  (gallaeciae/gallicae)
ganda gent   # 2, 0.8  (gandavum/gentium)
georg ierseg   # 2, 0.571  (georgii/jerzego)
iliber eluirs   # 2, 1.0  (illiberi/elwirze)
mars celan   # 2, 1.0  (marsos/celano)
mati maciei   # 2, 1.0  (matthiae/macieja)
noric salsburg   # 2, 0.8  (norico/salzburgu)
nouiodun noion   # 2, 0.667  (novioduni/noyon)
osc uesc   # 2, 1.0  (oscae/huesca)
placenti piacenc   # 2, 0.8  (placentiae/piacencji)
reat riet   # 2, 0.8  (reate/rieti)
senens sien   # 2, 0.667  (senensis/sienny)
surent sorenci   # 2, 1.0  (surrentum/sorencie)
taurin turini   # 2, 0.8  (taurinas/turynie)
tebe suaicar   # 2, 0.667  (thebaeorum/szwajcarii)
tolos tulusi   # 2, 1.0  (tolosae/tuluzie)
tornac tourna   # 2, 1.0  (tornaci/tournay)
traiect utreci   # 2, 0.8  (trajectum/utrechcie)
uales ualo   # 2, 1.0  (valesii/valois)
uisigot gotou   # 2, 0.8  (visigothorum/gotow)
uni unou   # 2, 0.8  (hunnis/hunnow)
