#= sunday letter: c, general rule
01-11=Epi1-0a;;1570 1888 1906 DA Newcal
08-02=081-0~R;;1570 1888 1906
08-04=081-0~R;;M1617
08-16=083-0~R;;1888 1906
08-17=083-0~R;;1570 DA
08-23=084-0;;1888 1906 1954
08-25=084-0;;1570 
08-30=091-0;;1570 1888 1906
09-05=091-0;;M1617
09-13=093-0;;1888 1906
09-20=094-0;;1888 1906
10-04=101-0;;1888 1906
10-29=105-0;;1570 1888 1906
10-29=105-1;;DA
11-03=111-0~B;;DA
11-19=114-4~B;;1570 M1617 1888 1906 DA
11-23=115-1~B;;DA
11-24=115-0~R;;1570 1888 1906
11-24=115-1~115-2~B;;M1617
11-25=115-1~115-2~115-3~R;;1570 1888 1906
11-26=115-4~B;;1570 1888 1906
11-27=115-5~B;;M1617
