#= sunday letter: e, general rule
01-13=Epi1-0a;;DA Newcal
08-11=082-0~R;;1570 1888 1906 DA
08-20=083-0~R;;1888 1906
08-25=084-0~R;;1570 1888 1906 DA
09-16=093-1;;1570 1888 1906 DA C1951 CAV
09-19=093-2;;1570 1888 1906 DA C1951 CAV
09-20=093-4;;1888 1906 DA C1951 CAV
09-22=094-0~R;;1570 DA
09-23=094-0~R;;1888 1906
09-25=095-0;;1570 1888 1906 DA
09-26=095-5;;1570 1888 1906 DA
09-27=095-6;;1570 1888 1906 DA
10-29=105-1;;1570 1888 1906 DA
10-30=105-2;;1570 1888 1906 DA
11-10=113-0~B;;1570 1888 1906 DA
11-19=114-2~R;;1570 1888 1906 DA
11-20=114-5~114-6~A;;1570 1888 1906 DA
11-24=115-0~B;;1888 1906
11-25=115-1~B;;1570
11-28=115-6~A;;1570 1888 1906 DA
