#= sunday letter: f, general rule
01-12=Epi1-0a;;1960
01-13=Epi1-0a;;1570 1888 1906 DA
01-14=Epi1-0a;;Newcal
08-20=083-0;;1888 1906
09-16=093-0;;1570 M1617 1888 1906 DA
09-19=093-1;;DA
09-20=093-2;;DA
09-23=094-0;;1888 1906
09-26=095-0;;1570 1888 1906 DA
09-27=095-0;;M1617
09-27=095-5;;1570 1888 1906 DA
09-28=095-6;;1570 1888 1906 DA
09-30=101-0;;DA
10-01=101-0~B;;1570 1888 1906
10-04=101-0;;M1930
10-29=105-1;;1570 1888 1906 DA
10-30=105-2;;1570 1888 1906 DA
11-20=114-4;;M1617
11-23=114-4~114-5~B;;DA
11-23=114-5~B;;M1930
11-24=114-4~114-5~114-6~R;;1888 1906
11-24=114-5~114-6~B;;1570 M1617
11-25=115-0~B;;1888 1906
11-27=115-2~B;;M1617
11-28=115-5~115-6~A;;1570 M1617 1888 1906 DA M1930
