#= sunday letter: A, Diœcesis Ratisbonensis 
10-15=Bavaria/10-TD-Ded;;1960
10-14=Bavaria/10-TD-Ded~10-14;;1888 1906 DA
10-15=10-15~Bavaria/10-T2oct;;1888 1906 DA
10-16=Bavaria/10-T3oct;;1888 1906
10-16=10-16~Bavaria/10-T3oct;;DA
10-17=10-16~Bavaria/10-T4oct;;1888 1906
10-17=10-17~Bavaria/10-T4oct;;DA
10-19=10-19~Bavaria/10-T6oct;;1888 1906 DA
10-20=10-20~Bavaria/10-T7oct;;1888 1906 DA
10-21=Bavaria/10-T8oct~10-21~10-21cc;;1888 1906 DA
#=Finis Tabula translationis pro festis Dominica assignato et Vigilia
