#= sunday letter: g, Diœcesis Ratisbonensis 
10-21=Bavaria/10-TD-Ded;;1960
10-20=Bavaria/10-TD-Ded~10-20;;1888 1906 DA
10-21=Bavaria/10-T2oct~10-21~10-21cc;;1888 1906 DA
10-22=Bavaria/10-T3oct;;1888 1906 DA
10-23=Bavaria/10-T4oct;;1888 1906 DA
10-24=Bavaria/10-T5oct;;1888 1906
10-24=10-24~Bavaria/10-T5oct;;DA
10-25=Bavaria/10-T6oct~10-25;;1888 1906 DA
10-26=Bavaria/10-T7oct~10-26;;1888 1906 DA
10-27=Bavaria/10-T8oct~10-27;;1888 1906 DA
#=Finis Tabula translationis pro festis Dominica assignato et Vigilia
