#= sunday letter: b, rule number: 6, Diœcesis Urbis seu Romana
01-23=01-23o;;1570 1888 1906
01-24=aliquibus locis/01-23-Desponsatio~01-24;;1570
01-31=Urbis/01-30-FelixIV;;1570
02-10=Urbis/02-09-Zosimus;;1570
02-15=Urbis/02-13-GregoriusII~02-15;;1570
02-17=aliquibus locis/01-23-Desponsatio;;1888 1906
02-21=01-25;;1888
02-28=01-25;;1906
02-28=Urbis/01-11cc;;1888
03-01=02-09;;1888
03-01=Urbis/01-11cc;;1906
03-03=02-09;;1906
04-08=03-24;;1888 1906
04-09=03-21;;1888
04-15=03-21;;1906
04-15=03-18;;1888
04-18=04-04;;1888
04-18=03-18;;1906
04-20=03-27;;1906
06-03=Urbis/05-26o;;1570
06-04=Urbis/05-26~06-04;;DA 1954
06-06=05-31~06-06;;1954
06-16=04-04;;1906
07-12=07-10~07-12o;;1570
09-07=08-28;;1888
09-12=08-28~09-12bmv;;1906
dirge1=01-26 02-04 02-21;;1570
dirge1=01-29 02-03 02-14 02-21;;M1617
dirge1=XX-XX;;1888 1906
dirge2=02-28 03-14 05-23 06-04 07-07;;1570
dirge2=02-28 03-14 06-03 07-07;;M1617
dirge2=03-14 06-09;;1888
dirge2=02-21 03-14 06-17;;1906
dirge3=10-12;;1888
dirge3=10-11;;1906
